,Customer Age,Customer Gender,Product Purchased,Ticket Subject,Customer Satisfaction Rating,Days_Since_Purchase,Satisfaction_Level
1310,56,Other,Bose QuietComfort,Product recommendation,4.0,1976,High
1311,65,Female,Samsung Soundbar,Software bug,1.0,1632,Low
1313,28,Female,Roomba Robot Vacuum,Software bug,3.0,1390,Medium
1315,67,Male,LG Smart TV,Network problem,5.0,1582,High
1316,40,Female,Canon DSLR Camera,Data loss,1.0,1680,Low
1319,34,Female,Nintendo Switch,Network problem,1.0,1498,Low
1328,55,Other,Canon DSLR Camera,Battery life,2.0,1938,Low
1329,38,Female,Microsoft Xbox Controller,Battery life,3.0,1869,Medium
1331,38,Male,Autodesk AutoCAD,Network problem,3.0,2044,Medium
1332,69,Female,Sony PlayStation,Battery life,5.0,1643,High
1333,70,Male,Garmin Forerunner,Cancellation request,5.0,1798,High
1335,31,Male,iPhone,Refund request,5.0,2000,High
1336,33,Female,Garmin Forerunner,Payment issue,5.0,1608,High
1339,45,Female,Microsoft Office,Data loss,5.0,1803,High
1341,20,Male,GoPro Action Camera,Network problem,2.0,1427,Low
1343,51,Female,Samsung Galaxy,Network problem,2.0,1750,Low
1346,64,Female,Canon EOS,Product compatibility,4.0,1924,High
1350,46,Female,Google Pixel,Product setup,1.0,2034,Low
1351,18,Male,LG Smart TV,Cancellation request,4.0,1631,High
1353,69,Male,Philips Hue Lights,Payment issue,5.0,1660,High
1354,46,Female,iPhone,Product compatibility,3.0,1987,Medium
1355,58,Other,Microsoft Office,Peripheral compatibility,1.0,1488,Low
1356,45,Male,Roomba Robot Vacuum,Delivery problem,2.0,1866,Low
1357,36,Male,MacBook Pro,Battery life,3.0,1422,Medium
1361,51,Male,Adobe Photoshop,Product compatibility,3.0,1491,Medium
1370,46,Male,Autodesk AutoCAD,Data loss,5.0,1502,High
1372,30,Female,Philips Hue Lights,Product compatibility,1.0,1920,Low
1373,46,Male,Google Nest,Cancellation request,3.0,1995,Medium
1377,36,Male,GoPro Hero,Payment issue,3.0,1907,Medium
1378,49,Female,GoPro Hero,Display issue,1.0,1584,Low
1382,65,Female,Samsung Soundbar,Network problem,5.0,1914,High
1383,31,Male,Nikon D,Account access,2.0,1737,Low
1390,45,Other,Roomba Robot Vacuum,Payment issue,1.0,2011,Low
1395,36,Male,Garmin Forerunner,Battery life,2.0,1858,Low
1397,66,Male,Amazon Kindle,Product compatibility,4.0,1857,High
1399,52,Female,Nikon D,Battery life,2.0,1712,Low
1405,61,Other,Philips Hue Lights,Installation support,4.0,1775,High
1411,32,Other,Nest Thermostat,Hardware issue,5.0,2036,High
1416,67,Female,Microsoft Xbox Controller,Delivery problem,1.0,1336,Low
1417,59,Male,Microsoft Xbox Controller,Network problem,5.0,2000,High
1426,67,Other,Apple AirPods,Hardware issue,3.0,1746,Medium
1427,58,Other,Philips Hue Lights,Network problem,5.0,1694,High
1432,30,Other,iPhone,Delivery problem,2.0,1933,Low
1433,33,Other,Bose SoundLink Speaker,Product recommendation,1.0,1752,Low
1434,46,Male,Nest Thermostat,Delivery problem,5.0,1942,High
1443,29,Male,Google Pixel,Product recommendation,3.0,1785,Medium
1444,63,Male,LG Smart TV,Delivery problem,3.0,1732,Medium
1450,69,Male,Canon DSLR Camera,Payment issue,2.0,1464,Low
1452,35,Other,Dyson Vacuum Cleaner,Product setup,4.0,1635,High
1456,34,Other,Dyson Vacuum Cleaner,Installation support,5.0,1944,High
1457,29,Female,LG Smart TV,Refund request,2.0,1793,Low
1465,34,Male,Google Pixel,Payment issue,5.0,1843,High
1467,34,Other,PlayStation,Payment issue,5.0,1458,High
1468,56,Female,Bose QuietComfort,Product setup,4.0,1703,High
1480,34,Female,Dyson Vacuum Cleaner,Product setup,4.0,1769,High
1481,28,Other,LG Smart TV,Installation support,4.0,1582,High
1483,33,Female,Google Nest,Product setup,2.0,1534,Low
1486,30,Male,Apple AirPods,Peripheral compatibility,3.0,1958,Medium
1487,50,Female,Sony PlayStation,Product compatibility,4.0,1884,High
1489,49,Female,Adobe Photoshop,Product setup,3.0,1547,Medium
1490,58,Female,Lenovo ThinkPad,Account access,1.0,1795,Low
1491,49,Other,Philips Hue Lights,Product recommendation,5.0,2020,High
1492,34,Female,GoPro Hero,Delivery problem,3.0,1860,Medium
1493,55,Other,Dell XPS,Product setup,4.0,1993,High
1495,58,Other,Sony 4K HDR TV,Battery life,5.0,1321,High
1498,59,Female,Autodesk AutoCAD,Product compatibility,2.0,1750,Low
1503,57,Male,Amazon Kindle,Delivery problem,2.0,2036,Low
1513,39,Male,Canon EOS,Battery life,3.0,1496,Medium
1523,26,Male,Amazon Echo,Hardware issue,5.0,1749,High
1526,21,Other,MacBook Pro,Network problem,4.0,1828,High
1527,23,Male,Amazon Echo,Hardware issue,5.0,1834,High
1528,70,Other,Sony Xperia,Software bug,1.0,1429,Low
1529,36,Female,Fitbit Versa Smartwatch,Peripheral compatibility,1.0,1611,Low
1532,68,Female,Google Nest,Refund request,4.0,1599,High
1535,66,Male,Bose QuietComfort,Product recommendation,4.0,1604,High
1540,50,Male,Amazon Kindle,Software bug,5.0,1889,High
1544,33,Female,Sony 4K HDR TV,Network problem,1.0,1742,Low
1546,46,Other,LG Smart TV,Hardware issue,3.0,1998,Medium
1548,54,Male,Fitbit Versa Smartwatch,Software bug,3.0,2019,Medium
1553,29,Other,Microsoft Xbox Controller,Installation support,2.0,1717,Low
1557,20,Male,Asus ROG,Payment issue,3.0,1405,Medium
1563,64,Female,Garmin Forerunner,Refund request,4.0,1986,High
1568,47,Other,GoPro Hero,Hardware issue,1.0,1319,Low
1573,25,Male,LG Washing Machine,Delivery problem,4.0,1771,High
1577,38,Female,Asus ROG,Delivery problem,2.0,1537,Low
1580,62,Female,Bose QuietComfort,Software bug,3.0,1489,Medium
1582,23,Other,Dyson Vacuum Cleaner,Product recommendation,4.0,1874,High
1583,61,Female,Adobe Photoshop,Peripheral compatibility,2.0,1583,Low
1588,55,Female,Sony Xperia,Product recommendation,1.0,1441,Low
1589,61,Female,Nikon D,Product compatibility,5.0,1489,High
1590,53,Male,Nintendo Switch,Peripheral compatibility,1.0,1916,Low
1593,56,Male,Fitbit Versa Smartwatch,Display issue,1.0,1925,Low
1595,27,Male,Bose SoundLink Speaker,Software bug,5.0,1345,High
1596,31,Male,LG OLED,Cancellation request,4.0,1576,High
1598,39,Female,Canon DSLR Camera,Delivery problem,3.0,1619,Medium
1601,48,Female,Apple AirPods,Product recommendation,1.0,2004,Low
1602,34,Male,Samsung Galaxy,Payment issue,4.0,1661,High
1603,30,Female,Nintendo Switch,Battery life,5.0,1735,High
1611,66,Other,Microsoft Xbox Controller,Payment issue,3.0,1402,Medium
1612,56,Female,Nintendo Switch,Account access,2.0,1651,Low
1613,47,Other,Amazon Kindle,Refund request,1.0,1647,Low
1614,60,Female,Fitbit Charge,Battery life,3.0,1349,Medium
1617,20,Female,Google Pixel,Peripheral compatibility,1.0,1758,Low
1618,63,Female,Dell XPS,Refund request,1.0,1541,Low
1622,56,Other,Sony PlayStation,Peripheral compatibility,5.0,1892,High
1623,52,Female,Garmin Forerunner,Product recommendation,4.0,1992,High
1628,52,Male,Lenovo ThinkPad,Hardware issue,2.0,1361,Low
1629,51,Female,Google Pixel,Network problem,4.0,1552,High
1640,36,Other,LG OLED,Product compatibility,4.0,1840,High
1647,46,Male,Canon DSLR Camera,Network problem,1.0,1588,Low
1649,27,Male,Samsung Galaxy,Product recommendation,1.0,1328,Low
1651,18,Female,LG Smart TV,Peripheral compatibility,2.0,1718,Low
1652,68,Male,Dyson Vacuum Cleaner,Product compatibility,2.0,1927,Low
1653,57,Female,Google Pixel,Delivery problem,4.0,1512,High
1655,27,Female,Garmin Forerunner,Cancellation request,4.0,1509,High
1659,55,Female,HP Pavilion,Hardware issue,4.0,1943,High
1660,29,Male,Bose QuietComfort,Delivery problem,5.0,1432,High
1662,50,Female,Adobe Photoshop,Network problem,1.0,1406,Low
1664,69,Other,LG Washing Machine,Delivery problem,5.0,1394,High
1668,69,Male,iPhone,Installation support,4.0,1703,High
1669,45,Male,Nikon D,Account access,4.0,1419,High
1673,68,Other,Samsung Galaxy,Display issue,5.0,1919,High
1674,68,Female,Fitbit Charge,Payment issue,5.0,1672,High
1676,63,Female,Microsoft Surface,Data loss,4.0,1914,High
1679,18,Other,Microsoft Surface,Battery life,2.0,1505,Low
1685,70,Female,Amazon Echo,Product compatibility,3.0,1749,Medium
1686,27,Other,LG Smart TV,Product setup,2.0,1689,Low
1691,42,Other,LG OLED,Refund request,3.0,1425,Medium
1699,53,Female,Nintendo Switch Pro Controller,Product setup,2.0,1617,Low
1700,24,Male,Sony 4K HDR TV,Cancellation request,5.0,1929,High
1702,54,Female,Fitbit Versa Smartwatch,Product setup,2.0,1386,Low
1703,59,Male,Apple AirPods,Payment issue,4.0,1404,High
1705,21,Male,LG OLED,Refund request,2.0,1854,Low
1709,62,Male,Autodesk AutoCAD,Battery life,4.0,1996,High
1710,29,Female,Dyson Vacuum Cleaner,Hardware issue,2.0,1384,Low
1714,27,Female,Sony PlayStation,Network problem,2.0,1670,Low
1715,20,Female,Microsoft Office,Peripheral compatibility,1.0,1788,Low
1717,51,Male,Microsoft Office,Product setup,3.0,1712,Medium
1718,30,Male,Nintendo Switch Pro Controller,Display issue,5.0,1549,High
1721,41,Male,Dell XPS,Cancellation request,1.0,1887,Low
1722,31,Other,Sony Xperia,Battery life,1.0,1673,Low
1724,36,Female,Adobe Photoshop,Network problem,1.0,1453,Low
1726,47,Male,Sony Xperia,Refund request,1.0,1485,Low
1731,34,Male,Samsung Soundbar,Refund request,2.0,2036,Low
1732,39,Male,Xbox,Installation support,2.0,1646,Low
1734,25,Female,Samsung Soundbar,Battery life,3.0,1570,Medium
1736,41,Male,Google Nest,Product setup,5.0,1545,High
1741,22,Other,Xbox,Installation support,3.0,1622,Medium
1742,22,Male,LG Washing Machine,Payment issue,5.0,1469,High
1747,36,Female,Microsoft Office,Network problem,1.0,1799,Low
1752,69,Male,Microsoft Office,Data loss,5.0,1894,High
1754,29,Male,LG OLED,Product setup,5.0,1910,High
1755,35,Other,Canon DSLR Camera,Display issue,3.0,1650,Medium
1761,50,Male,Asus ROG,Installation support,5.0,1883,High
1764,40,Female,Microsoft Xbox Controller,Peripheral compatibility,2.0,1627,Low
1765,23,Other,Philips Hue Lights,Account access,5.0,1600,High
1767,57,Female,Nintendo Switch,Payment issue,4.0,1687,High
1772,48,Other,Fitbit Versa Smartwatch,Peripheral compatibility,3.0,1819,Medium
1778,35,Male,Roomba Robot Vacuum,Product setup,3.0,1881,Medium
1781,45,Female,Google Nest,Network problem,3.0,1898,Medium
1782,66,Male,Samsung Galaxy,Account access,2.0,1334,Low
1783,63,Male,Dell XPS,Battery life,3.0,1466,Medium
1784,62,Male,Samsung Galaxy,Delivery problem,3.0,1664,Medium
1785,56,Other,Amazon Echo,Hardware issue,4.0,1457,High
1804,43,Other,Sony 4K HDR TV,Payment issue,1.0,1341,Low
1805,42,Female,Sony Xperia,Delivery problem,1.0,1592,Low
1806,59,Female,MacBook Pro,Account access,5.0,1501,High
1807,48,Male,Apple AirPods,Battery life,5.0,1990,High
1812,61,Female,Samsung Soundbar,Software bug,5.0,1328,High
1819,34,Male,iPhone,Battery life,1.0,1812,Low
1824,66,Female,GoPro Hero,Network problem,1.0,2029,Low
1825,55,Female,Bose SoundLink Speaker,Hardware issue,2.0,1517,Low
1827,63,Other,Amazon Echo,Delivery problem,2.0,1647,Low
1835,51,Other,LG OLED,Account access,4.0,1445,High
1837,28,Male,Bose SoundLink Speaker,Installation support,5.0,2025,High
1838,18,Other,HP Pavilion,Software bug,4.0,1810,High
1845,38,Other,Amazon Echo,Display issue,4.0,1854,High
1846,27,Male,Microsoft Xbox Controller,Product setup,3.0,1325,Medium
1852,67,Female,Sony 4K HDR TV,Battery life,2.0,2019,Low
1853,49,Other,Nest Thermostat,Product recommendation,2.0,1390,Low
1857,45,Female,Google Nest,Product recommendation,2.0,1706,Low
1861,38,Male,Dyson Vacuum Cleaner,Hardware issue,5.0,1808,High
1864,33,Female,Sony Xperia,Account access,3.0,1846,Medium
1865,36,Female,Fitbit Versa Smartwatch,Cancellation request,4.0,1968,High
1866,54,Other,Sony 4K HDR TV,Software bug,2.0,1960,Low
1875,43,Male,Sony PlayStation,Hardware issue,4.0,1648,High
1882,48,Female,Nintendo Switch Pro Controller,Installation support,2.0,1346,Low
1884,49,Male,Bose QuietComfort,Network problem,1.0,1648,Low
1886,59,Male,MacBook Pro,Product compatibility,1.0,1767,Low
1887,33,Other,Nikon D,Delivery problem,2.0,1425,Low
1895,52,Other,LG Washing Machine,Installation support,3.0,1795,Medium
1896,22,Male,Canon DSLR Camera,Peripheral compatibility,3.0,1968,Medium
1897,58,Other,Canon DSLR Camera,Cancellation request,3.0,1475,Medium
1901,35,Female,Google Pixel,Peripheral compatibility,3.0,1580,Medium
1902,19,Other,Samsung Soundbar,Hardware issue,3.0,1585,Medium
1905,34,Male,GoPro Hero,Product recommendation,4.0,1574,High
1916,29,Other,Lenovo ThinkPad,Product setup,5.0,1861,High
1917,36,Male,PlayStation,Display issue,3.0,1990,Medium
1918,28,Female,Nest Thermostat,Battery life,5.0,1323,High
1919,22,Male,Sony PlayStation,Battery life,2.0,1693,Low
1921,56,Male,Fitbit Versa Smartwatch,Network problem,1.0,1652,Low
1925,61,Other,Canon EOS,Payment issue,1.0,1924,Low
1927,41,Female,LG Washing Machine,Account access,5.0,2019,High
1932,30,Other,iPhone,Battery life,5.0,1371,High
1935,29,Other,LG Smart TV,Battery life,2.0,1597,Low
1938,37,Other,Google Nest,Product compatibility,5.0,1761,High
1940,59,Female,Fitbit Versa Smartwatch,Payment issue,5.0,2005,High
1944,43,Female,Dell XPS,Account access,2.0,1696,Low
1949,43,Other,HP Pavilion,Software bug,2.0,1413,Low
1950,70,Female,LG Washing Machine,Software bug,1.0,1880,Low
1954,61,Other,Amazon Kindle,Product recommendation,5.0,1963,High
1956,24,Female,Canon DSLR Camera,Software bug,1.0,1827,Low
1957,60,Male,Bose SoundLink Speaker,Hardware issue,3.0,1960,Medium
1961,31,Female,Samsung Soundbar,Product setup,1.0,1863,Low
1965,30,Female,Bose QuietComfort,Account access,4.0,1563,High
1967,19,Male,Amazon Echo,Refund request,2.0,1385,Low
1977,59,Male,LG Smart TV,Account access,3.0,1561,Medium
1978,28,Male,Adobe Photoshop,Network problem,4.0,2006,High
1980,63,Male,Nikon D,Delivery problem,1.0,2031,Low
1984,39,Female,Philips Hue Lights,Product recommendation,3.0,1894,Medium
1991,30,Other,Sony PlayStation,Display issue,2.0,1611,Low
1993,66,Male,PlayStation,Delivery problem,1.0,1666,Low
1994,68,Female,Bose SoundLink Speaker,Peripheral compatibility,4.0,2023,High
1997,28,Female,Philips Hue Lights,Product recommendation,2.0,1803,Low
2003,60,Male,Nikon D,Network problem,1.0,1835,Low
2007,55,Other,Asus ROG,Refund request,3.0,1857,Medium
2011,39,Male,LG Smart TV,Delivery problem,1.0,1448,Low
2022,62,Other,LG OLED,Peripheral compatibility,4.0,1628,High
2030,29,Female,Sony 4K HDR TV,Cancellation request,4.0,1905,High
2035,61,Male,Canon DSLR Camera,Payment issue,3.0,1572,Medium
2036,48,Female,Asus ROG,Delivery problem,4.0,1778,High
2061,22,Male,MacBook Pro,Refund request,5.0,1961,High
2063,64,Other,MacBook Pro,Installation support,4.0,1658,High
2065,53,Other,Microsoft Surface,Cancellation request,5.0,1387,High
2067,63,Other,Amazon Echo,Refund request,5.0,1651,High
2071,46,Female,Google Nest,Software bug,4.0,1767,High
2074,21,Male,Sony PlayStation,Installation support,3.0,1408,Medium
2077,58,Other,Nikon D,Display issue,4.0,1890,High
2082,34,Other,iPhone,Software bug,5.0,1976,High
2085,33,Male,Nikon D,Product recommendation,4.0,1869,High
2089,60,Other,LG Smart TV,Account access,4.0,1686,High
2091,34,Female,Microsoft Office,Installation support,5.0,1385,High
2094,48,Other,LG OLED,Display issue,3.0,1962,Medium
2096,45,Male,Google Nest,Refund request,3.0,1691,Medium
2097,31,Male,Xbox,Installation support,3.0,1552,Medium
2100,66,Male,Amazon Echo,Refund request,5.0,1366,High
2101,18,Female,Nintendo Switch Pro Controller,Hardware issue,4.0,1811,High
2103,22,Female,LG Smart TV,Software bug,2.0,1438,Low
2104,27,Other,Amazon Echo,Software bug,1.0,2005,Low
2106,46,Female,Dell XPS,Refund request,1.0,1633,Low
2109,45,Male,Microsoft Surface,Product compatibility,4.0,1477,High
2115,67,Male,Fitbit Versa Smartwatch,Peripheral compatibility,3.0,1743,Medium
2124,38,Female,Nintendo Switch Pro Controller,Product recommendation,3.0,1684,Medium
2127,36,Female,LG Washing Machine,Peripheral compatibility,2.0,1422,Low
2128,19,Other,LG Washing Machine,Refund request,3.0,1444,Medium
2129,41,Male,Dell XPS,Product recommendation,5.0,1856,High
2131,54,Female,GoPro Action Camera,Product setup,1.0,1774,Low
2134,28,Female,Bose QuietComfort,Battery life,4.0,1444,High
2138,38,Other,GoPro Action Camera,Software bug,3.0,2025,Medium
2139,65,Other,Dell XPS,Software bug,2.0,1634,Low
2142,50,Female,Canon EOS,Battery life,5.0,1901,High
2144,28,Female,Microsoft Office,Software bug,2.0,1765,Low
2152,25,Female,GoPro Action Camera,Hardware issue,3.0,1592,Medium
2154,69,Female,Canon EOS,Payment issue,5.0,1495,High
2155,22,Female,LG Washing Machine,Display issue,5.0,1554,High
2160,54,Male,Microsoft Xbox Controller,Account access,4.0,1794,High
2162,44,Other,Adobe Photoshop,Payment issue,5.0,1460,High
2166,49,Female,LG Washing Machine,Product recommendation,5.0,1397,High
2173,54,Male,Fitbit Charge,Product compatibility,5.0,1374,High
2177,30,Male,Google Pixel,Refund request,2.0,1429,Low
2179,50,Female,Nikon D,Account access,4.0,1479,High
2184,38,Female,Nintendo Switch,Refund request,4.0,1677,High
2187,32,Female,Google Nest,Peripheral compatibility,2.0,1369,Low
2193,49,Female,Microsoft Xbox Controller,Product compatibility,5.0,1803,High
2197,60,Other,Asus ROG,Cancellation request,4.0,1918,High
2199,28,Other,Dell XPS,Payment issue,3.0,1440,Medium
2202,53,Female,Philips Hue Lights,Product setup,4.0,1798,High
2206,21,Other,Microsoft Xbox Controller,Refund request,4.0,1611,High
2207,51,Female,Samsung Soundbar,Battery life,2.0,1372,Low
2211,63,Male,Amazon Kindle,Hardware issue,3.0,1415,Medium
2215,29,Female,Sony 4K HDR TV,Software bug,3.0,1682,Medium
2216,44,Female,GoPro Hero,Installation support,5.0,2009,High
2221,53,Female,Sony 4K HDR TV,Display issue,1.0,1898,Low
2222,67,Male,Autodesk AutoCAD,Product compatibility,3.0,1940,Medium
2225,70,Male,Sony Xperia,Network problem,5.0,1667,High
2226,61,Other,Philips Hue Lights,Product recommendation,4.0,1778,High
2228,60,Female,Sony PlayStation,Installation support,3.0,1768,Medium
2229,54,Other,Samsung Soundbar,Cancellation request,4.0,1933,High
2231,40,Female,Nikon D,Payment issue,5.0,1439,High
2236,50,Other,Nintendo Switch,Hardware issue,3.0,1345,Medium
2244,54,Male,iPhone,Peripheral compatibility,3.0,1785,Medium
2245,59,Other,Amazon Kindle,Product compatibility,1.0,1795,Low
2246,42,Male,LG Smart TV,Battery life,5.0,1783,High
2247,61,Male,LG Washing Machine,Data loss,2.0,1744,Low
2249,18,Male,Xbox,Refund request,4.0,1472,High
2251,25,Other,MacBook Pro,Software bug,3.0,1930,Medium
2252,48,Female,Amazon Echo,Product setup,3.0,1780,Medium
2254,54,Male,Philips Hue Lights,Payment issue,3.0,1580,Medium
2261,58,Female,Samsung Soundbar,Delivery problem,3.0,1998,Medium
2262,57,Other,LG OLED,Display issue,2.0,1363,Low
2266,59,Other,Dell XPS,Peripheral compatibility,1.0,1332,Low
2269,38,Other,Roomba Robot Vacuum,Refund request,3.0,1805,Medium
2271,48,Male,PlayStation,Product recommendation,4.0,1909,High
2273,21,Male,Canon EOS,Product recommendation,1.0,1473,Low
2276,52,Male,Bose QuietComfort,Peripheral compatibility,1.0,1351,Low
2280,60,Other,Dell XPS,Account access,2.0,1627,Low
2285,65,Female,Microsoft Xbox Controller,Product setup,4.0,1998,High
2289,54,Female,GoPro Hero,Cancellation request,2.0,1824,Low
2294,62,Female,Nintendo Switch Pro Controller,Account access,1.0,1644,Low
2306,19,Female,Xbox,Software bug,3.0,1987,Medium
2311,35,Male,Nest Thermostat,Product compatibility,1.0,1845,Low
2313,49,Male,Bose QuietComfort,Hardware issue,3.0,1674,Medium
2314,41,Female,Sony Xperia,Payment issue,1.0,2040,Low
2320,61,Male,Sony Xperia,Network problem,3.0,1489,Medium
2321,47,Male,Garmin Forerunner,Hardware issue,1.0,1382,Low
2322,48,Female,Nintendo Switch,Cancellation request,3.0,1484,Medium
2323,33,Female,Microsoft Office,Product recommendation,5.0,1848,High
2324,22,Male,iPhone,Product compatibility,2.0,1567,Low
2326,28,Male,Sony PlayStation,Data loss,3.0,1705,Medium
2328,41,Female,Apple AirPods,Battery life,4.0,1506,High
2337,29,Male,Amazon Kindle,Payment issue,1.0,1832,Low
2338,56,Female,Sony PlayStation,Product setup,2.0,1447,Low
2340,26,Male,Sony 4K HDR TV,Network problem,3.0,1863,Medium
2341,48,Male,Garmin Forerunner,Product recommendation,2.0,1371,Low
2344,68,Male,Google Nest,Installation support,3.0,1341,Medium
2345,43,Male,HP Pavilion,Battery life,2.0,1435,Low
2346,68,Female,Autodesk AutoCAD,Peripheral compatibility,5.0,1657,High
2351,20,Female,Bose QuietComfort,Product compatibility,5.0,1367,High
2357,44,Female,Samsung Galaxy,Display issue,5.0,1570,High
2358,56,Male,Fitbit Charge,Battery life,1.0,1653,Low
2360,51,Female,Asus ROG,Software bug,1.0,1451,Low
2361,25,Female,Garmin Forerunner,Product compatibility,3.0,1370,Medium
2362,58,Male,Sony 4K HDR TV,Delivery problem,1.0,1967,Low
2364,46,Other,GoPro Hero,Product compatibility,4.0,1788,High
2367,49,Other,Asus ROG,Product recommendation,4.0,1849,High
2371,42,Male,LG Smart TV,Installation support,2.0,1428,Low
2372,60,Male,Asus ROG,Product compatibility,1.0,2018,Low
2377,45,Male,MacBook Pro,Cancellation request,2.0,1610,Low
2378,50,Other,Sony 4K HDR TV,Software bug,2.0,1881,Low
2387,67,Female,Nintendo Switch,Network problem,1.0,1968,Low
2390,30,Other,Sony 4K HDR TV,Display issue,1.0,1952,Low
2392,41,Other,Sony Xperia,Battery life,4.0,1779,High
2394,23,Female,iPhone,Data loss,1.0,1744,Low
2397,28,Male,Amazon Kindle,Cancellation request,1.0,1494,Low
2401,29,Female,iPhone,Product recommendation,2.0,2008,Low
2402,67,Female,Garmin Forerunner,Payment issue,2.0,1677,Low
2403,41,Female,Asus ROG,Network problem,2.0,1550,Low
2409,41,Other,Autodesk AutoCAD,Peripheral compatibility,5.0,1982,High
2410,36,Other,Dyson Vacuum Cleaner,Software bug,5.0,1564,High
2411,59,Male,Microsoft Surface,Delivery problem,2.0,1710,Low
2412,41,Female,Nintendo Switch Pro Controller,Software bug,5.0,1321,High
2413,26,Female,Microsoft Xbox Controller,Delivery problem,4.0,1720,High
2415,69,Other,Xbox,Payment issue,3.0,1841,Medium
2416,66,Male,Amazon Kindle,Cancellation request,3.0,2039,Medium
2420,28,Male,Nintendo Switch,Hardware issue,1.0,1351,Low
2421,52,Male,Sony Xperia,Cancellation request,3.0,1557,Medium
2425,65,Male,Canon DSLR Camera,Installation support,3.0,1368,Medium
2430,61,Other,Fitbit Charge,Refund request,3.0,1966,Medium
2438,65,Other,GoPro Hero,Product setup,5.0,1324,High
2440,56,Female,Dell XPS,Product compatibility,3.0,1645,Medium
2441,46,Female,Garmin Forerunner,Software bug,3.0,1717,Medium
2449,58,Female,Canon DSLR Camera,Peripheral compatibility,3.0,1473,Medium
2451,47,Other,Samsung Soundbar,Product compatibility,3.0,1605,Medium
2453,52,Other,Apple AirPods,Hardware issue,2.0,1382,Low
2455,51,Female,iPhone,Delivery problem,4.0,1894,High
2460,37,Other,LG Smart TV,Product compatibility,1.0,1824,Low
2464,50,Male,Microsoft Office,Software bug,5.0,1775,High
2465,21,Other,Lenovo ThinkPad,Product compatibility,3.0,1493,Medium
2466,68,Other,Xbox,Installation support,1.0,1692,Low
2467,66,Other,Google Pixel,Delivery problem,3.0,1713,Medium
2469,62,Other,GoPro Action Camera,Display issue,4.0,2040,High
2470,58,Male,LG OLED,Product setup,1.0,1390,Low
2471,59,Other,MacBook Pro,Data loss,3.0,1754,Medium
2472,53,Female,LG Washing Machine,Network problem,4.0,1387,High
2473,53,Other,Samsung Galaxy,Installation support,4.0,1346,High
2476,54,Other,Xbox,Installation support,2.0,1935,Low
2478,21,Female,LG Smart TV,Product compatibility,3.0,1542,Medium
2485,54,Female,Dyson Vacuum Cleaner,Payment issue,2.0,1386,Low
2487,20,Female,LG Smart TV,Network problem,4.0,1830,High
2488,30,Female,Adobe Photoshop,Battery life,1.0,1694,Low
2491,39,Female,Amazon Kindle,Battery life,1.0,1848,Low
2492,35,Female,Microsoft Office,Product compatibility,2.0,1866,Low
2506,24,Male,Apple AirPods,Network problem,3.0,1378,Medium
2516,42,Female,Amazon Kindle,Hardware issue,1.0,1335,Low
2517,36,Male,Nest Thermostat,Product setup,3.0,1432,Medium
2522,32,Male,Nikon D,Product setup,4.0,1334,High
2529,21,Female,Google Nest,Data loss,1.0,2037,Low
2531,67,Other,Philips Hue Lights,Payment issue,5.0,1572,High
2533,50,Other,Google Nest,Delivery problem,1.0,1478,Low
2535,38,Female,Nintendo Switch Pro Controller,Battery life,4.0,1861,High
2539,59,Male,Nintendo Switch Pro Controller,Product compatibility,4.0,2032,High
2540,57,Female,Microsoft Surface,Product compatibility,4.0,1656,High
2544,63,Female,Canon EOS,Account access,2.0,1500,Low
2547,48,Female,Adobe Photoshop,Display issue,3.0,1916,Medium
2548,38,Other,Samsung Galaxy,Network problem,5.0,1339,High
2554,51,Other,iPhone,Installation support,5.0,1854,High
2555,47,Female,Microsoft Surface,Cancellation request,5.0,1622,High
2556,35,Female,Roomba Robot Vacuum,Installation support,3.0,1347,Medium
2567,63,Male,Nintendo Switch Pro Controller,Delivery problem,1.0,1499,Low
2573,50,Female,LG OLED,Product setup,1.0,1340,Low
2575,29,Male,PlayStation,Network problem,4.0,1368,High
2579,48,Other,Sony PlayStation,Data loss,3.0,1483,Medium
2586,62,Male,LG Washing Machine,Product setup,5.0,1967,High
2587,46,Female,Canon DSLR Camera,Delivery problem,5.0,1788,High
2588,20,Female,Sony Xperia,Software bug,2.0,1880,Low
2589,40,Female,Bose SoundLink Speaker,Refund request,4.0,2035,High
2590,36,Female,Sony Xperia,Product compatibility,3.0,1901,Medium
2596,70,Male,Bose QuietComfort,Network problem,1.0,1835,Low
2607,57,Male,Nest Thermostat,Installation support,3.0,1973,Medium
2609,41,Other,Dell XPS,Display issue,4.0,1823,High
2611,64,Other,Amazon Echo,Data loss,1.0,1948,Low
2612,44,Other,Dyson Vacuum Cleaner,Software bug,2.0,1935,Low
2618,59,Other,Xbox,Account access,3.0,2026,Medium
2621,29,Other,Nintendo Switch Pro Controller,Product setup,5.0,1561,High
2628,66,Female,Garmin Forerunner,Delivery problem,2.0,1359,Low
2629,69,Female,Adobe Photoshop,Cancellation request,5.0,1702,High
2630,45,Other,Asus ROG,Display issue,3.0,1561,Medium
2636,64,Other,MacBook Pro,Delivery problem,3.0,1690,Medium
2637,55,Female,Samsung Galaxy,Display issue,2.0,1503,Low
2638,51,Other,Amazon Echo,Installation support,1.0,1908,Low
2643,46,Other,Bose SoundLink Speaker,Installation support,3.0,1464,Medium
2644,31,Male,Garmin Forerunner,Account access,1.0,1643,Low
