,Customer Age,Customer Gender,Product Purchased,Ticket Type,Ticket Subject,Ticket Channel,Customer Satisfaction Rating,Days_Since_Purchase,Satisfaction_Level
2097,31,Male,Xbox,Product inquiry,Installation support,Phone,3.0,1553,Medium
2100,66,Male,Amazon Echo,Cancellation request,Refund request,Phone,5.0,1367,High
2101,18,Female,Nintendo Switch Pro Controller,Billing inquiry,Hardware issue,Email,4.0,1812,High
2103,22,Female,LG Smart TV,Product inquiry,Software bug,Email,2.0,1439,Low
2104,27,Other,Amazon Echo,Technical issue,Software bug,Phone,1.0,2006,Low
2106,46,Female,Dell XPS,Refund request,Refund request,Social media,1.0,1634,Low
2109,45,Male,Microsoft Surface,Product inquiry,Product compatibility,Phone,4.0,1478,High
2115,67,Male,Fitbit Versa Smartwatch,Refund request,Peripheral compatibility,Social media,3.0,1744,Medium
2124,38,Female,Nintendo Switch Pro Controller,Technical issue,Product recommendation,Social media,3.0,1685,Medium
2127,36,Female,LG Washing Machine,Refund request,Peripheral compatibility,Social media,2.0,1423,Low
2128,19,Other,LG Washing Machine,Cancellation request,Refund request,Chat,3.0,1445,Medium
2129,41,Male,Dell XPS,Cancellation request,Product recommendation,Social media,5.0,1857,High
2131,54,Female,GoPro Action Camera,Product inquiry,Product setup,Email,1.0,1775,Low
2134,28,Female,Bose QuietComfort,Product inquiry,Battery life,Social media,4.0,1445,High
2138,38,Other,GoPro Action Camera,Cancellation request,Software bug,Phone,3.0,2026,Medium
2139,65,Other,Dell XPS,Billing inquiry,Software bug,Chat,2.0,1635,Low
2142,50,Female,Canon EOS,Technical issue,Battery life,Chat,5.0,1902,High
2144,28,Female,Microsoft Office,Product inquiry,Software bug,Social media,2.0,1766,Low
2152,25,Female,GoPro Action Camera,Refund request,Hardware issue,Chat,3.0,1593,Medium
2154,69,Female,Canon EOS,Product inquiry,Payment issue,Email,5.0,1496,High
2155,22,Female,LG Washing Machine,Billing inquiry,Display issue,Chat,5.0,1555,High
2160,54,Male,Microsoft Xbox Controller,Billing inquiry,Account access,Phone,4.0,1795,High
2162,44,Other,Adobe Photoshop,Billing inquiry,Payment issue,Email,5.0,1461,High
2166,49,Female,LG Washing Machine,Product inquiry,Product recommendation,Social media,5.0,1398,High
2173,54,Male,Fitbit Charge,Refund request,Product compatibility,Social media,5.0,1375,High
2177,30,Male,Google Pixel,Billing inquiry,Refund request,Phone,2.0,1430,Low
2179,50,Female,Nikon D,Product inquiry,Account access,Email,4.0,1480,High
2184,38,Female,Nintendo Switch,Refund request,Refund request,Chat,4.0,1678,High
2187,32,Female,Google Nest,Refund request,Peripheral compatibility,Phone,2.0,1370,Low
2193,49,Female,Microsoft Xbox Controller,Billing inquiry,Product compatibility,Email,5.0,1804,High
2197,60,Other,Asus ROG,Cancellation request,Cancellation request,Social media,4.0,1919,High
2199,28,Other,Dell XPS,Billing inquiry,Payment issue,Email,3.0,1441,Medium
2202,53,Female,Philips Hue Lights,Product inquiry,Product setup,Chat,4.0,1799,High
2206,21,Other,Microsoft Xbox Controller,Cancellation request,Refund request,Phone,4.0,1612,High
2207,51,Female,Samsung Soundbar,Technical issue,Battery life,Chat,2.0,1373,Low
2211,63,Male,Amazon Kindle,Refund request,Hardware issue,Chat,3.0,1416,Medium
2215,29,Female,Sony 4K HDR TV,Technical issue,Software bug,Chat,3.0,1683,Medium
2216,44,Female,GoPro Hero,Billing inquiry,Installation support,Social media,5.0,2010,High
2221,53,Female,Sony 4K HDR TV,Refund request,Display issue,Chat,1.0,1899,Low
2222,67,Male,Autodesk AutoCAD,Billing inquiry,Product compatibility,Email,3.0,1941,Medium
2225,70,Male,Sony Xperia,Cancellation request,Network problem,Phone,5.0,1668,High
2226,61,Other,Philips Hue Lights,Product inquiry,Product recommendation,Social media,4.0,1779,High
2228,60,Female,Sony PlayStation,Technical issue,Installation support,Phone,3.0,1769,Medium
2229,54,Other,Samsung Soundbar,Refund request,Cancellation request,Email,4.0,1934,High
2231,40,Female,Nikon D,Technical issue,Payment issue,Email,5.0,1440,High
2236,50,Other,Nintendo Switch,Technical issue,Hardware issue,Email,3.0,1346,Medium
2244,54,Male,iPhone,Technical issue,Peripheral compatibility,Chat,3.0,1786,Medium
2245,59,Other,Amazon Kindle,Product inquiry,Product compatibility,Chat,1.0,1796,Low
2246,42,Male,LG Smart TV,Product inquiry,Battery life,Chat,5.0,1784,High
2247,61,Male,LG Washing Machine,Technical issue,Data loss,Social media,2.0,1745,Low
2249,18,Male,Xbox,Billing inquiry,Refund request,Chat,4.0,1473,High
2251,25,Other,MacBook Pro,Product inquiry,Software bug,Phone,3.0,1931,Medium
2252,48,Female,Amazon Echo,Cancellation request,Product setup,Email,3.0,1781,Medium
2254,54,Male,Philips Hue Lights,Billing inquiry,Payment issue,Chat,3.0,1581,Medium
2261,58,Female,Samsung Soundbar,Cancellation request,Delivery problem,Email,3.0,1999,Medium
2262,57,Other,LG OLED,Refund request,Display issue,Phone,2.0,1364,Low
2266,59,Other,Dell XPS,Product inquiry,Peripheral compatibility,Social media,1.0,1333,Low
2269,38,Other,Roomba Robot Vacuum,Technical issue,Refund request,Email,3.0,1806,Medium
2271,48,Male,PlayStation,Billing inquiry,Product recommendation,Chat,4.0,1910,High
2273,21,Male,Canon EOS,Product inquiry,Product recommendation,Phone,1.0,1474,Low
2276,52,Male,Bose QuietComfort,Technical issue,Peripheral compatibility,Social media,1.0,1352,Low
2280,60,Other,Dell XPS,Refund request,Account access,Social media,2.0,1628,Low
2285,65,Female,Microsoft Xbox Controller,Refund request,Product setup,Email,4.0,1999,High
2289,54,Female,GoPro Hero,Cancellation request,Cancellation request,Email,2.0,1825,Low
2294,62,Female,Nintendo Switch Pro Controller,Cancellation request,Account access,Email,1.0,1645,Low
2306,19,Female,Xbox,Refund request,Software bug,Email,3.0,1988,Medium
2311,35,Male,Nest Thermostat,Refund request,Product compatibility,Phone,1.0,1846,Low
2313,49,Male,Bose QuietComfort,Cancellation request,Hardware issue,Phone,3.0,1675,Medium
2314,41,Female,Sony Xperia,Technical issue,Payment issue,Social media,1.0,2041,Low
2320,61,Male,Sony Xperia,Technical issue,Network problem,Chat,3.0,1490,Medium
2321,47,Male,Garmin Forerunner,Technical issue,Hardware issue,Chat,1.0,1383,Low
2322,48,Female,Nintendo Switch,Product inquiry,Cancellation request,Social media,3.0,1485,Medium
2323,33,Female,Microsoft Office,Product inquiry,Product recommendation,Chat,5.0,1849,High
2324,22,Male,iPhone,Billing inquiry,Product compatibility,Phone,2.0,1568,Low
2326,28,Male,Sony PlayStation,Refund request,Data loss,Email,3.0,1706,Medium
2328,41,Female,Apple AirPods,Billing inquiry,Battery life,Phone,4.0,1507,High
2337,29,Male,Amazon Kindle,Technical issue,Payment issue,Chat,1.0,1833,Low
2338,56,Female,Sony PlayStation,Refund request,Product setup,Email,2.0,1448,Low
2340,26,Male,Sony 4K HDR TV,Technical issue,Network problem,Chat,3.0,1864,Medium
2341,48,Male,Garmin Forerunner,Technical issue,Product recommendation,Email,2.0,1372,Low
2344,68,Male,Google Nest,Cancellation request,Installation support,Chat,3.0,1342,Medium
2345,43,Male,HP Pavilion,Product inquiry,Battery life,Phone,2.0,1436,Low
2346,68,Female,Autodesk AutoCAD,Product inquiry,Peripheral compatibility,Chat,5.0,1658,High
2351,20,Female,Bose QuietComfort,Billing inquiry,Product compatibility,Phone,5.0,1368,High
2357,44,Female,Samsung Galaxy,Cancellation request,Display issue,Email,5.0,1571,High
2358,56,Male,Fitbit Charge,Technical issue,Battery life,Social media,1.0,1654,Low
2360,51,Female,Asus ROG,Technical issue,Software bug,Phone,1.0,1452,Low
2361,25,Female,Garmin Forerunner,Billing inquiry,Product compatibility,Social media,3.0,1371,Medium
2362,58,Male,Sony 4K HDR TV,Billing inquiry,Delivery problem,Chat,1.0,1968,Low
2364,46,Other,GoPro Hero,Refund request,Product compatibility,Social media,4.0,1789,High
2367,49,Other,Asus ROG,Refund request,Product recommendation,Chat,4.0,1850,High
2371,42,Male,LG Smart TV,Cancellation request,Installation support,Phone,2.0,1429,Low
2372,60,Male,Asus ROG,Technical issue,Product compatibility,Social media,1.0,2019,Low
2377,45,Male,MacBook Pro,Product inquiry,Cancellation request,Email,2.0,1611,Low
2378,50,Other,Sony 4K HDR TV,Technical issue,Software bug,Phone,2.0,1882,Low
2387,67,Female,Nintendo Switch,Billing inquiry,Network problem,Social media,1.0,1969,Low
2390,30,Other,Sony 4K HDR TV,Technical issue,Display issue,Phone,1.0,1953,Low
2392,41,Other,Sony Xperia,Refund request,Battery life,Phone,4.0,1780,High
2394,23,Female,iPhone,Refund request,Data loss,Email,1.0,1745,Low
2397,28,Male,Amazon Kindle,Refund request,Cancellation request,Email,1.0,1495,Low
2401,29,Female,iPhone,Billing inquiry,Product recommendation,Phone,2.0,2009,Low
2402,67,Female,Garmin Forerunner,Product inquiry,Payment issue,Social media,2.0,1678,Low
2403,41,Female,Asus ROG,Refund request,Network problem,Email,2.0,1551,Low
2409,41,Other,Autodesk AutoCAD,Cancellation request,Peripheral compatibility,Social media,5.0,1983,High
2410,36,Other,Dyson Vacuum Cleaner,Technical issue,Software bug,Phone,5.0,1565,High
2411,59,Male,Microsoft Surface,Technical issue,Delivery problem,Phone,2.0,1711,Low
2412,41,Female,Nintendo Switch Pro Controller,Technical issue,Software bug,Chat,5.0,1322,High
2413,26,Female,Microsoft Xbox Controller,Product inquiry,Delivery problem,Chat,4.0,1721,High
2415,69,Other,Xbox,Technical issue,Payment issue,Chat,3.0,1842,Medium
2416,66,Male,Amazon Kindle,Refund request,Cancellation request,Chat,3.0,2040,Medium
2420,28,Male,Nintendo Switch,Refund request,Hardware issue,Email,1.0,1352,Low
2421,52,Male,Sony Xperia,Cancellation request,Cancellation request,Email,3.0,1558,Medium
2425,65,Male,Canon DSLR Camera,Product inquiry,Installation support,Email,3.0,1369,Medium
2430,61,Other,Fitbit Charge,Refund request,Refund request,Phone,3.0,1967,Medium
2438,65,Other,GoPro Hero,Refund request,Product setup,Chat,5.0,1325,High
2440,56,Female,Dell XPS,Product inquiry,Product compatibility,Email,3.0,1646,Medium
2441,46,Female,Garmin Forerunner,Cancellation request,Software bug,Chat,3.0,1718,Medium
2449,58,Female,Canon DSLR Camera,Cancellation request,Peripheral compatibility,Social media,3.0,1474,Medium
2451,47,Other,Samsung Soundbar,Refund request,Product compatibility,Phone,3.0,1606,Medium
2453,52,Other,Apple AirPods,Cancellation request,Hardware issue,Chat,2.0,1383,Low
2455,51,Female,iPhone,Refund request,Delivery problem,Social media,4.0,1895,High
2460,37,Other,LG Smart TV,Technical issue,Product compatibility,Email,1.0,1825,Low
2464,50,Male,Microsoft Office,Product inquiry,Software bug,Phone,5.0,1776,High
2465,21,Other,Lenovo ThinkPad,Product inquiry,Product compatibility,Social media,3.0,1494,Medium
2466,68,Other,Xbox,Billing inquiry,Installation support,Social media,1.0,1693,Low
2467,66,Other,Google Pixel,Product inquiry,Delivery problem,Phone,3.0,1714,Medium
2469,62,Other,GoPro Action Camera,Billing inquiry,Display issue,Chat,4.0,2041,High
2470,58,Male,LG OLED,Cancellation request,Product setup,Chat,1.0,1391,Low
2471,59,Other,MacBook Pro,Technical issue,Data loss,Email,3.0,1755,Medium
2472,53,Female,LG Washing Machine,Technical issue,Network problem,Social media,4.0,1388,High
2473,53,Other,Samsung Galaxy,Technical issue,Installation support,Phone,4.0,1347,High
2476,54,Other,Xbox,Refund request,Installation support,Email,2.0,1936,Low
2478,21,Female,LG Smart TV,Technical issue,Product compatibility,Social media,3.0,1543,Medium
2485,54,Female,Dyson Vacuum Cleaner,Technical issue,Payment issue,Social media,2.0,1387,Low
2487,20,Female,LG Smart TV,Product inquiry,Network problem,Social media,4.0,1831,High
2488,30,Female,Adobe Photoshop,Cancellation request,Battery life,Email,1.0,1695,Low
2491,39,Female,Amazon Kindle,Technical issue,Battery life,Email,1.0,1849,Low
2492,35,Female,Microsoft Office,Billing inquiry,Product compatibility,Email,2.0,1867,Low
2506,24,Male,Apple AirPods,Refund request,Network problem,Chat,3.0,1379,Medium
2516,42,Female,Amazon Kindle,Technical issue,Hardware issue,Phone,1.0,1336,Low
2517,36,Male,Nest Thermostat,Cancellation request,Product setup,Social media,3.0,1433,Medium
2522,32,Male,Nikon D,Technical issue,Product setup,Email,4.0,1335,High
2529,21,Female,Google Nest,Billing inquiry,Data loss,Social media,1.0,2038,Low
2531,67,Other,Philips Hue Lights,Technical issue,Payment issue,Chat,5.0,1573,High
2533,50,Other,Google Nest,Billing inquiry,Delivery problem,Social media,1.0,1479,Low
2535,38,Female,Nintendo Switch Pro Controller,Cancellation request,Battery life,Phone,4.0,1862,High
2539,59,Male,Nintendo Switch Pro Controller,Billing inquiry,Product compatibility,Phone,4.0,2033,High
2540,57,Female,Microsoft Surface,Technical issue,Product compatibility,Phone,4.0,1657,High
2544,63,Female,Canon EOS,Product inquiry,Account access,Phone,2.0,1501,Low
2547,48,Female,Adobe Photoshop,Product inquiry,Display issue,Phone,3.0,1917,Medium
2548,38,Other,Samsung Galaxy,Refund request,Network problem,Email,5.0,1340,High
2554,51,Other,iPhone,Billing inquiry,Installation support,Phone,5.0,1855,High
2555,47,Female,Microsoft Surface,Product inquiry,Cancellation request,Chat,5.0,1623,High
2556,35,Female,Roomba Robot Vacuum,Technical issue,Installation support,Phone,3.0,1348,Medium
2567,63,Male,Nintendo Switch Pro Controller,Product inquiry,Delivery problem,Phone,1.0,1500,Low
2573,50,Female,LG OLED,Refund request,Product setup,Email,1.0,1341,Low
2575,29,Male,PlayStation,Cancellation request,Network problem,Chat,4.0,1369,High
2579,48,Other,Sony PlayStation,Technical issue,Data loss,Chat,3.0,1484,Medium
2586,62,Male,LG Washing Machine,Refund request,Product setup,Social media,5.0,1968,High
2587,46,Female,Canon DSLR Camera,Refund request,Delivery problem,Chat,5.0,1789,High
2588,20,Female,Sony Xperia,Refund request,Software bug,Chat,2.0,1881,Low
2589,40,Female,Bose SoundLink Speaker,Product inquiry,Refund request,Email,4.0,2036,High
2590,36,Female,Sony Xperia,Product inquiry,Product compatibility,Phone,3.0,1902,Medium
2596,70,Male,Bose QuietComfort,Cancellation request,Network problem,Email,1.0,1836,Low
2607,57,Male,Nest Thermostat,Refund request,Installation support,Email,3.0,1974,Medium
2609,41,Other,Dell XPS,Cancellation request,Display issue,Social media,4.0,1824,High
2611,64,Other,Amazon Echo,Billing inquiry,Data loss,Chat,1.0,1949,Low
2612,44,Other,Dyson Vacuum Cleaner,Billing inquiry,Software bug,Email,2.0,1936,Low
2618,59,Other,Xbox,Billing inquiry,Account access,Email,3.0,2027,Medium
2621,29,Other,Nintendo Switch Pro Controller,Product inquiry,Product setup,Phone,5.0,1562,High
2628,66,Female,Garmin Forerunner,Refund request,Delivery problem,Phone,2.0,1360,Low
2629,69,Female,Adobe Photoshop,Billing inquiry,Cancellation request,Chat,5.0,1703,High
2630,45,Other,Asus ROG,Product inquiry,Display issue,Chat,3.0,1562,Medium
2636,64,Other,MacBook Pro,Billing inquiry,Delivery problem,Social media,3.0,1691,Medium
2637,55,Female,Samsung Galaxy,Refund request,Display issue,Social media,2.0,1504,Low
2638,51,Other,Amazon Echo,Refund request,Installation support,Email,1.0,1909,Low
2643,46,Other,Bose SoundLink Speaker,Billing inquiry,Installation support,Chat,3.0,1465,Medium
2644,31,Male,Garmin Forerunner,Product inquiry,Account access,Social media,1.0,1644,Low
2645,62,Male,Samsung Soundbar,Product inquiry,Peripheral compatibility,Social media,3.0,1700,Medium
2648,31,Female,Amazon Echo,Billing inquiry,Hardware issue,Social media,4.0,1372,High
2649,31,Male,Google Pixel,Product inquiry,Product recommendation,Social media,3.0,1677,Medium
2650,32,Male,Fitbit Versa Smartwatch,Refund request,Product setup,Phone,1.0,1424,Low
2651,36,Male,Nintendo Switch,Refund request,Battery life,Email,3.0,1915,Medium
2656,18,Male,Amazon Echo,Refund request,Cancellation request,Email,5.0,1363,High
2660,28,Male,Xbox,Technical issue,Installation support,Phone,4.0,1569,High
2661,51,Male,Microsoft Surface,Cancellation request,Installation support,Phone,3.0,2009,Medium
2670,57,Male,Nintendo Switch,Cancellation request,Refund request,Phone,2.0,1373,Low
2673,62,Male,Garmin Forerunner,Refund request,Product compatibility,Phone,1.0,1820,Low
2678,69,Other,iPhone,Technical issue,Product compatibility,Email,3.0,1501,Medium
2679,63,Other,Nest Thermostat,Product inquiry,Display issue,Email,3.0,1729,Medium
2682,30,Male,Roomba Robot Vacuum,Product inquiry,Product setup,Chat,2.0,1769,Low
2683,34,Other,Fitbit Versa Smartwatch,Billing inquiry,Hardware issue,Social media,4.0,1510,High
2686,67,Male,Bose SoundLink Speaker,Billing inquiry,Delivery problem,Email,2.0,1619,Low
2695,18,Male,Microsoft Office,Cancellation request,Payment issue,Email,2.0,1943,Low
2698,28,Female,Microsoft Surface,Product inquiry,Battery life,Phone,2.0,1641,Low
2700,63,Female,Amazon Kindle,Technical issue,Delivery problem,Social media,1.0,1477,Low
2701,44,Male,PlayStation,Product inquiry,Payment issue,Chat,3.0,1844,Medium
2702,39,Male,Fitbit Versa Smartwatch,Product inquiry,Peripheral compatibility,Phone,5.0,1863,High
2704,29,Female,iPhone,Cancellation request,Display issue,Phone,4.0,1744,High
2711,53,Other,Google Nest,Billing inquiry,Product setup,Chat,3.0,1939,Medium
2715,27,Female,PlayStation,Technical issue,Product recommendation,Email,3.0,1832,Medium
2717,19,Female,Philips Hue Lights,Cancellation request,Battery life,Social media,5.0,1476,High
2726,20,Female,Microsoft Surface,Product inquiry,Payment issue,Phone,4.0,1319,High
2728,19,Other,Xbox,Product inquiry,Refund request,Chat,3.0,1807,Medium
2729,28,Other,Bose QuietComfort,Billing inquiry,Data loss,Email,3.0,1671,Medium
2733,30,Male,Philips Hue Lights,Billing inquiry,Cancellation request,Chat,1.0,1905,Low
2736,65,Other,Sony PlayStation,Product inquiry,Delivery problem,Email,2.0,2025,Low
2738,70,Female,Dyson Vacuum Cleaner,Cancellation request,Delivery problem,Chat,5.0,1853,High
2739,28,Female,Bose QuietComfort,Billing inquiry,Network problem,Email,2.0,1703,Low
2741,62,Female,Amazon Kindle,Refund request,Software bug,Phone,1.0,1623,Low
2751,33,Male,Garmin Forerunner,Product inquiry,Product compatibility,Chat,4.0,1994,High
2752,44,Female,Philips Hue Lights,Product inquiry,Account access,Email,1.0,1721,Low
2753,39,Male,Canon EOS,Cancellation request,Hardware issue,Email,1.0,1927,Low
2754,23,Female,Google Nest,Refund request,Data loss,Social media,1.0,2019,Low
2755,53,Female,LG OLED,Billing inquiry,Battery life,Phone,5.0,1940,High
2759,22,Female,Apple AirPods,Product inquiry,Account access,Email,1.0,1776,Low
2762,65,Male,Lenovo ThinkPad,Technical issue,Refund request,Email,3.0,1630,Medium
2766,31,Female,LG OLED,Product inquiry,Software bug,Phone,5.0,1752,High
2770,22,Male,iPhone,Billing inquiry,Installation support,Social media,3.0,1763,Medium
2772,69,Other,Google Pixel,Technical issue,Product recommendation,Phone,5.0,1655,High
2773,58,Female,Bose SoundLink Speaker,Product inquiry,Software bug,Social media,3.0,1572,Medium
2779,41,Male,MacBook Pro,Cancellation request,Software bug,Chat,3.0,1888,Medium
2780,41,Female,LG OLED,Refund request,Cancellation request,Chat,5.0,1609,High
2783,48,Other,Adobe Photoshop,Product inquiry,Product recommendation,Social media,5.0,1364,High
2787,67,Female,Dell XPS,Product inquiry,Software bug,Email,2.0,1973,Low
2795,33,Other,Nikon D,Technical issue,Hardware issue,Social media,5.0,1748,High
2800,34,Male,Asus ROG,Billing inquiry,Data loss,Chat,4.0,1356,High
2801,66,Male,Adobe Photoshop,Cancellation request,Peripheral compatibility,Email,5.0,2038,High
2803,53,Male,Canon EOS,Cancellation request,Delivery problem,Chat,4.0,1801,High
2807,56,Other,MacBook Pro,Technical issue,Hardware issue,Email,5.0,1591,High
2808,49,Female,Philips Hue Lights,Technical issue,Cancellation request,Email,5.0,1569,High
2809,54,Female,Nest Thermostat,Product inquiry,Hardware issue,Social media,3.0,1427,Medium
2810,34,Female,Canon EOS,Cancellation request,Product recommendation,Social media,3.0,1775,Medium
2811,19,Female,Autodesk AutoCAD,Technical issue,Product setup,Social media,3.0,1712,Medium
2815,64,Female,Amazon Kindle,Billing inquiry,Cancellation request,Chat,1.0,1841,Low
2817,70,Male,Nest Thermostat,Product inquiry,Delivery problem,Email,5.0,1790,High
2818,39,Male,Dyson Vacuum Cleaner,Technical issue,Peripheral compatibility,Social media,3.0,1952,Medium
2820,56,Other,Sony Xperia,Technical issue,Hardware issue,Phone,5.0,1389,High
2822,52,Male,GoPro Hero,Product inquiry,Product setup,Phone,2.0,1671,Low
2828,39,Other,Amazon Echo,Technical issue,Battery life,Chat,3.0,1440,Medium
2832,56,Male,Canon EOS,Technical issue,Software bug,Phone,1.0,1894,Low
2838,52,Female,Canon DSLR Camera,Billing inquiry,Payment issue,Phone,1.0,1723,Low
2839,32,Other,Fitbit Charge,Cancellation request,Payment issue,Phone,4.0,2037,High
2841,65,Male,Google Nest,Cancellation request,Network problem,Chat,1.0,1338,Low
2842,39,Male,Nintendo Switch Pro Controller,Billing inquiry,Peripheral compatibility,Phone,4.0,1424,High
2845,37,Other,Canon EOS,Technical issue,Delivery problem,Chat,1.0,2025,Low
2847,45,Female,Amazon Echo,Technical issue,Account access,Chat,2.0,1874,Low
2849,70,Other,Google Pixel,Refund request,Cancellation request,Chat,3.0,1805,Medium
2853,44,Female,HP Pavilion,Refund request,Product compatibility,Chat,2.0,1630,Low
2854,54,Female,Xbox,Billing inquiry,Payment issue,Phone,5.0,1618,High
2856,27,Female,LG Washing Machine,Technical issue,Data loss,Phone,1.0,1317,Low
2859,57,Other,Nikon D,Technical issue,Product recommendation,Phone,5.0,1507,High
2862,22,Male,Dyson Vacuum Cleaner,Cancellation request,Battery life,Phone,1.0,1654,Low
2871,42,Other,iPhone,Product inquiry,Payment issue,Phone,5.0,1695,High
2874,34,Other,iPhone,Technical issue,Refund request,Chat,4.0,1951,High
2877,42,Other,Fitbit Versa Smartwatch,Product inquiry,Display issue,Phone,1.0,1916,Low
2880,50,Male,LG Smart TV,Billing inquiry,Hardware issue,Chat,4.0,1848,High
2883,56,Female,Roomba Robot Vacuum,Cancellation request,Cancellation request,Chat,2.0,1676,Low
2889,60,Male,Nintendo Switch Pro Controller,Refund request,Hardware issue,Phone,5.0,1920,High
2892,54,Male,Sony 4K HDR TV,Product inquiry,Network problem,Phone,1.0,1512,Low
2900,56,Other,Microsoft Office,Product inquiry,Account access,Chat,1.0,1406,Low
2903,64,Female,Dyson Vacuum Cleaner,Billing inquiry,Peripheral compatibility,Chat,5.0,1414,High
2904,52,Male,Google Nest,Refund request,Battery life,Social media,2.0,1818,Low
2908,51,Other,Canon EOS,Product inquiry,Product recommendation,Email,4.0,2009,High
2910,36,Other,Asus ROG,Technical issue,Network problem,Email,2.0,1443,Low
2913,70,Female,Bose QuietComfort,Cancellation request,Data loss,Phone,1.0,1371,Low
2914,40,Female,Fitbit Charge,Refund request,Battery life,Social media,4.0,1821,High
2917,51,Other,Philips Hue Lights,Cancellation request,Product setup,Chat,1.0,1924,Low
2919,70,Other,PlayStation,Billing inquiry,Installation support,Phone,3.0,1937,Medium
2921,42,Female,Nikon D,Billing inquiry,Installation support,Chat,2.0,1694,Low
2927,69,Female,iPhone,Refund request,Hardware issue,Phone,2.0,1417,Low
2928,64,Other,iPhone,Refund request,Battery life,Email,2.0,1515,Low
2929,66,Male,Nintendo Switch Pro Controller,Cancellation request,Peripheral compatibility,Email,3.0,1606,Medium
2933,44,Other,Samsung Soundbar,Refund request,Account access,Email,4.0,1404,High
2934,50,Female,GoPro Hero,Cancellation request,Data loss,Chat,5.0,1744,High
2937,20,Female,Canon EOS,Technical issue,Network problem,Email,4.0,1784,High
2938,34,Male,Google Nest,Billing inquiry,Installation support,Social media,3.0,1407,Medium
2946,39,Other,Microsoft Xbox Controller,Technical issue,Network problem,Phone,1.0,1796,Low
2954,60,Male,Philips Hue Lights,Technical issue,Account access,Email,1.0,1465,Low
2955,43,Male,Apple AirPods,Product inquiry,Installation support,Chat,1.0,1930,Low
2966,60,Male,Microsoft Office,Cancellation request,Refund request,Chat,4.0,1751,High
2967,18,Other,Canon DSLR Camera,Technical issue,Account access,Social media,2.0,1771,Low
2968,45,Female,Sony 4K HDR TV,Product inquiry,Account access,Chat,5.0,1741,High
2969,33,Other,GoPro Action Camera,Product inquiry,Product compatibility,Phone,2.0,1797,Low
2974,52,Male,Microsoft Office,Product inquiry,Battery life,Social media,1.0,2002,Low
2975,66,Other,Canon DSLR Camera,Refund request,Installation support,Phone,3.0,1519,Medium
2984,49,Other,Amazon Echo,Billing inquiry,Cancellation request,Social media,1.0,1599,Low
2987,34,Female,Roomba Robot Vacuum,Billing inquiry,Software bug,Phone,4.0,1904,High
2988,50,Female,Canon EOS,Product inquiry,Cancellation request,Chat,2.0,1746,Low
2992,57,Other,Amazon Kindle,Refund request,Installation support,Social media,4.0,1349,High
2995,63,Female,Apple AirPods,Technical issue,Product compatibility,Chat,4.0,1953,High
2999,44,Female,Nikon D,Refund request,Hardware issue,Social media,5.0,1979,High
3000,34,Other,Lenovo ThinkPad,Technical issue,Battery life,Social media,5.0,1927,High
3001,26,Female,LG Washing Machine,Product inquiry,Data loss,Email,4.0,1838,High
3005,28,Female,LG Washing Machine,Cancellation request,Refund request,Phone,1.0,1601,Low
3007,44,Male,Xbox,Product inquiry,Cancellation request,Phone,1.0,1708,Low
3008,41,Female,PlayStation,Refund request,Hardware issue,Social media,5.0,1506,High
3011,27,Female,Canon DSLR Camera,Refund request,Payment issue,Social media,4.0,1938,High
3012,43,Male,Roomba Robot Vacuum,Product inquiry,Payment issue,Email,5.0,2002,High
3013,24,Male,Nintendo Switch,Technical issue,Software bug,Phone,5.0,1614,High
3014,69,Female,Microsoft Surface,Refund request,Data loss,Phone,5.0,1948,High
3019,42,Female,Bose SoundLink Speaker,Cancellation request,Software bug,Chat,2.0,2039,Low
3021,64,Female,MacBook Pro,Cancellation request,Installation support,Phone,5.0,1447,High
3022,67,Other,Asus ROG,Cancellation request,Payment issue,Phone,1.0,1979,Low
3029,67,Female,Google Nest,Product inquiry,Network problem,Chat,5.0,1405,High
3030,29,Male,Amazon Echo,Refund request,Product recommendation,Email,4.0,1724,High
3031,38,Male,Amazon Echo,Technical issue,Hardware issue,Social media,5.0,1809,High
3033,21,Female,Amazon Echo,Refund request,Peripheral compatibility,Social media,1.0,2030,Low
3034,65,Other,Roomba Robot Vacuum,Refund request,Network problem,Email,5.0,1514,High
3036,34,Female,LG Washing Machine,Cancellation request,Product recommendation,Chat,1.0,1875,Low
3040,42,Female,Nikon D,Refund request,Product recommendation,Email,3.0,1728,Medium
3041,57,Male,iPhone,Billing inquiry,Product compatibility,Social media,2.0,1918,Low
3044,42,Male,Lenovo ThinkPad,Product inquiry,Account access,Email,4.0,1572,High
3045,34,Male,iPhone,Product inquiry,Peripheral compatibility,Social media,1.0,2004,Low
3048,61,Female,Fitbit Versa Smartwatch,Refund request,Product setup,Chat,2.0,1943,Low
3050,62,Other,Fitbit Charge,Technical issue,Installation support,Phone,2.0,1948,Low
3052,34,Female,LG OLED,Cancellation request,Product setup,Phone,1.0,2039,Low
3054,31,Female,Fitbit Versa Smartwatch,Billing inquiry,Payment issue,Chat,2.0,1611,Low
3059,52,Male,Sony 4K HDR TV,Product inquiry,Product setup,Email,2.0,1461,Low
3062,59,Male,Fitbit Charge,Refund request,Software bug,Chat,4.0,1982,High
3063,34,Female,Canon EOS,Cancellation request,Installation support,Social media,5.0,1710,High
3065,41,Male,Samsung Soundbar,Technical issue,Cancellation request,Chat,5.0,1586,High
